page_url,source,followers,date,time,post_type,interactions,post_message,post_link,time_zone
Facebook.com/MuslimAmerica,United Muslims of America,284879,2017-06-02,12:32:00,Facebook,5579,Like and share if you respect this man!,https://www.facebook.com/MuslimAmerica/posts/1815811668735933,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-10-15,16:57:01,Facebook,5569,"THANKS CANADA, Every time you restore the faith in humanity !!",https://www.facebook.com/MuslimAmerica/posts/1685871488396619,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,251201,2017-03-02,13:43:00,Facebook,5551,So what's exactly your problem with the Muslim Hijab?,https://www.facebook.com/MuslimAmerica/posts/1765570053760095,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-09-01,15:34:00,Facebook,5493,SURPRISED ? ISIS NEVER WAS AND NEVER WILL BE ISLAMIC !,https://www.facebook.com/MuslimAmerica/posts/1663125420671226,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,268091,2017-04-17,12:22:00,Facebook,5463,"Thanks mr Morgan, we all appreciate you and your kind words.",https://www.facebook.com/MuslimAmerica/posts/1792823681034732,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,270397,2017-04-25,12:17:10,Facebook,5401,"Killing Muslims, Bombing Mosques, Destroying Muslim countries, changing Islamic teachings and destroying the image of Muslims all over the world!",https://www.facebook.com/MuslimAmerica/posts/1797106293939804,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-09-21,12:33:00,Facebook,5359,"Muslims are not terrorists, and terrorists are not Muslims. share if you agree.",https://www.facebook.com/MuslimAmerica/posts/1674144876235947,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,249028,2017-02-27,15:01:01,Facebook,5359,WHAT IS JIHAD? Share and educate the world!,https://www.facebook.com/MuslimAmerica/posts/1764260183891082,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,259519,2017-03-17,12:50:04,Facebook,5357,Hijab is better for you .... God knows better than all of us,https://www.facebook.com/MuslimAmerica/posts/1773403792976721,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-06-08,16:57:00,Facebook,5311,Top 10 Facts About Ramadan.,https://www.facebook.com/MuslimAmerica/posts/1619152955068473,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,223777,2017-02-01,14:06:00,Facebook,5256,"Thanks mr Morgan, we all appreciate you and your kind words.",https://www.facebook.com/MuslimAmerica/posts/1749859778664456,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,309010,2017-06-21,13:40:00,Facebook,5242,"Nabra was black. Nabra was Muslim. Nabra was just a girl. #JusticeForNabra",https://www.facebook.com/MuslimAmerica/posts/1826678394315927,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-09-25,16:08:00,Facebook,5181,Just some Muslim patriots praying :),https://www.facebook.com/MuslimAmerica/posts/1676340262683075,GMT-0400 
