source,page_url,followers,date,time,time_zone,interactions,post_type,post_message,post_link
Heart of Texas,Facebook.com/Txrebels,158771,2016-12-04,14:00:00, GMT-0500,7589,Facebook,,https://www.facebook.com/txrebels/posts/1061207300667759
Heart of Texas,Facebook.com/Txrebels,193568,2017-03-20,18:00:00, GMT-0400,7585,Facebook,,https://www.facebook.com/txrebels/posts/1163869437068211
Heart of Texas,Facebook.com/Txrebels,211767,2017-04-21,18:00:00, GMT-0400,7575,Facebook,,https://www.facebook.com/txrebels/posts/1200723803382774
Heart of Texas,Facebook.com/Txrebels,248065,2017-08-16,19:00:00, GMT-0400,7540,Facebook,,https://www.facebook.com/txrebels/posts/1319789938142826
Heart of Texas,Facebook.com/Txrebels,235067,2017-07-07,19:00:00, GMT-0400,7416,Facebook,,https://www.facebook.com/txrebels/posts/1274940802627740
Heart of Texas,Facebook.com/Txrebels,235294,2017-07-08,18:30:00, GMT-0400,7405,Facebook,,https://www.facebook.com/txrebels/posts/1274942952627525
Heart of Texas,Facebook.com/Txrebels,238467,2017-07-16,19:12:00, GMT-0400,7395,Facebook,,https://www.facebook.com/txrebels/posts/1285047901617030
Heart of Texas,Facebook.com/Txrebels,250245,2017-08-24,15:00:00, GMT-0400,7348,Facebook,,https://www.facebook.com/txrebels/posts/1328129067308913
Heart of Texas,Facebook.com/Txrebels,235294,2017-07-08,19:00:00, GMT-0400,7335,Facebook,,https://www.facebook.com/txrebels/posts/1274943259294161
Heart of Texas,Facebook.com/Txrebels,225116,2017-06-12,16:00:00, GMT-0400,7287,Facebook,,https://www.facebook.com/txrebels/posts/1248370905284730
Heart of Texas,Facebook.com/Txrebels,194098,2017-03-22,18:00:00, GMT-0400,7254,Facebook,,https://www.facebook.com/txrebels/posts/1165813703540451
Heart of Texas,Facebook.com/Txrebels,163007,2016-12-21,17:00:00, GMT-0500,7200,Facebook,,https://www.facebook.com/txrebels/posts/1080288625426293
Heart of Texas,Facebook.com/Txrebels,236610,2017-07-11,20:07:00, GMT-0400,7189,Facebook,,https://www.facebook.com/txrebels/posts/1281927961929024
Heart of Texas,Facebook.com/Txrebels,180581,2017-02-14,18:00:04, GMT-0500,7174,Facebook,,https://www.facebook.com/txrebels/posts/1132252163563272
Heart of Texas,Facebook.com/Txrebels,200009,2017-03-31,15:57:00, GMT-0400,7145,Facebook,,https://www.facebook.com/txrebels/posts/1173076412814180
Heart of Texas,Facebook.com/Txrebels,192345,2017-03-15,19:30:00, GMT-0400,7065,Facebook,,https://www.facebook.com/txrebels/posts/1159481027507052
Heart of Texas,Facebook.com/Txrebels,201527,2017-04-07,20:09:00, GMT-0400,6993,Facebook,,https://www.facebook.com/txrebels/posts/1173087569479731
Heart of Texas,Facebook.com/Txrebels,200009,2017-03-31,20:19:19, GMT-0400,6987,Facebook,,https://www.facebook.com/txrebels/posts/1173077339480754
Heart of Texas,Facebook.com/Txrebels,168107,2017-01-05,18:30:01, GMT-0500,6986,Facebook,,https://www.facebook.com/txrebels/posts/1084825331639289
Heart of Texas,Facebook.com/Txrebels,169672,2017-01-10,17:00:00, GMT-0500,6980,Facebook,,https://www.facebook.com/txrebels/posts/1096562287132260
Heart of Texas,Facebook.com/Txrebels,214709,2017-04-28,16:00:00, GMT-0400,6866,Facebook,,https://www.facebook.com/txrebels/posts/1207797256008762
Heart of Texas,Facebook.com/Txrebels,166820,2017-01-01,15:54:00, GMT-0500,6856,Facebook,,https://www.facebook.com/txrebels/posts/1080293202092502
Heart of Texas,Facebook.com/Txrebels,194687,2017-03-24,16:00:00, GMT-0400,6797,Facebook,,https://www.facebook.com/txrebels/posts/1167854793336342
Heart of Texas,Facebook.com/Txrebels,168668,2017-01-06,18:30:00, GMT-0500,6771,Facebook,,https://www.facebook.com/txrebels/posts/1084826874972468
Heart of Texas,Facebook.com/Txrebels,166820,2017-01-01,18:30:00, GMT-0500,6743,Facebook,,https://www.facebook.com/txrebels/posts/1081143182007504
Heart of Texas,Facebook.com/Txrebels,173373,2017-01-25,18:02:03, GMT-0500,6712,Facebook,,https://www.facebook.com/txrebels/posts/1112078918913930
